Name,Country,Degree,Deadline,CGPA,FullyFunded,Field
Global Korea Scholarship (GKS),South Korea,Masters,2027-03-15,3.00,Yes,Computer Science
Chevening Scholarship,United Kingdom,Masters,2026-11-01,3.20,Yes,Any
DAAD Scholarship,Germany,Masters,2027-01-20,3.00,Partial,Engineering
Erasmus Mundus,Europe,Masters,2027-02-10,2.80,Yes,Engineering
MEXT Scholarship,Japan,Masters,2027-04-25,3.00,Yes,Computer Science
Commonwealth Scholarship,United Kingdom,Masters,2026-12-15,3.20,Yes,Any
Fulbright Scholarship,USA,Masters,2027-05-01,3.30,Yes,Any
Turkiye Burslari,Turkey,Masters,2027-02-28,2.80,Yes,Computer Science
Chinese Government Scholarship,China,Masters,2027-03-20,2.70,Yes,Engineering
Swiss Government Excellence Scholarship,Switzerland,Masters,2027-01-31,3.40,Yes,Research
Australia Awards,Australia,Masters,2027-04-10,3.00,Yes,Any
Orange Knowledge Programme,Netherlands,Masters,2027-02-05,3.00,Partial,Management
VLIR-UOS Scholarship,Belgium,Masters,2027-03-12,2.90,Yes,Agriculture
ADB-Japan Scholarship,Japan,Masters,2027-01-18,3.20,Yes,Economics
Knight-Hennessy Scholars,USA,Masters,2027-09-15,3.50,Yes,Any
ETH Excellence Scholarship,Switzerland,Masters,2027-12-15,3.60,Partial,Engineering
Gates Cambridge Scholarship,United Kingdom,Masters,2027-10-10,3.50,Yes,Any
Rhodes Scholarship,United Kingdom,Masters,2027-09-30,3.70,Yes,Any
University of Melbourne Scholarship,Australia,Masters,2027-05-20,3.20,Partial,Computer Science
University of Toronto Scholarship,Canada,Masters,2027-06-15,3.30,Partial,Engineering
KAIST International Scholarship,South Korea,Masters,2027-03-05,3.10,Yes,Computer Science
Seoul National University Scholarship,South Korea,Masters,2027-03-25,3.20,Partial,Artificial Intelligence
McCall MacBain Scholarship,Canada,Masters,2027-08-20,3.40,Yes,Leadership
Singapore International Graduate Award,Singapore,Masters,2027-01-15,3.30,Yes,Computer Science
New Zealand Manaaki Scholarship,New Zealand,Masters,2027-04-05,3.00,Yes,Environmental Science
Italian Government Scholarship,Italy,Masters,2027-05-18,2.90,Partial,Architecture
Eiffel Excellence Scholarship,France,Masters,2027-01-10,3.30,Yes,Engineering
Government of Ireland Scholarship,Ireland,Masters,2027-03-08,3.20,Yes,Computer Science
Lester B. Pearson Scholarship,Canada,Bachelors,2027-01-25,3.60,Yes,Any
SBW Berlin Scholarship,Germany,Masters,2027-02-14,3.00,Partial,Social Sciences
